text;gun-control
As pessoas têm o direito de comercializarem qualquer produto que quiserem, incluindo armas. Impedir que alguém tenha uma arma fere a liberdade de escolha dela e o direito de defesa.;for
Acho que o cidadão comum não deveria ter o direito de ter o porte de armas pois muitos podem usar isso como um tipo de ameaça sem necessidade. E o aumento de mortes seria bem maior.;against
Acredito que cada cidadão tem o direito de poder se proteger sem depender da segurança pública. O problema disso é que atualmente o Brasil não tem estrutura legal nem fiscalização o suficiente para manter o controle disso.;neutral
O porte de armas está garantido na constituição do Brasil e ratificado por meio de referendo, no entanto, através de decretos e leis complementares dificultou-se e muito o seu acesso e disponibilidade por parte de governantes nada democráticos. Em um país sério e comprometido com a liberdade individual das pessoas, nem sequer haveria esta discussão.;for
Nenhum cidadão comum deveria portar armas! Controlar o porte de armas deveria ser uma prioridade no mundo inteiro. Assim, a violência e a guerra entre as pessoas reduziriam muito.;against
O porte de armas é uma questão bastante complicada pois existem vários acidentes que podem resultar em fatalidade. Entretanto, ao mesmo tempo, pode te trazer segurança e reduzir a marginalidade. A polícia é a única autorizada, mas ao mesmo tempo tem muitos marginais que conseguem armas. A população é a que sai prejudicada. Deveria ter alguma regulamentação permitindo, desde que seja controlada por lei.;neutral
O povo Brasileiro não possui maturidade para possui armas, com a situação que o país se encontra hoje o porte de arma só acarretaria em várias tragédias ao redor do país.;against
a sociedade brasileira não está preparada para porte de armas, aliás nenhuma sociedade humana. O ser humano não tem controle ou inteligência emocional, e qualquer assunto que o perturbe pode ser motivo para querer pegar a arma e resolver no tiro em lugar de argumentar.;against
É muito perigoso uma pessoa que não foi treinada ter acesso a armas, em um momento de raiva ou depressão pode acabar cometendo uma tragédia, as pessoas ainda não estão preparadas para lidar com tanto poder.;against
"O porte de armas deveria ser legalizado sim e não as drogas! No momento vivemos em uma sociedade doente, onde existe uma inversão de valores muito grande! O bandido pode ter armas, vivemos sob pena de morte em que o bandido dá a sentença! Isso é muito injusto, não podemos nos defender se alguém invade nossa casa ou carro. Na verdade, tudo isso vem de uma visão socialista que deixa o povo refém e vulnerável ao Estado, eles nos deixam desarmados, nós cidadãos de bem e os marginais continuam armados, qual a lógica disso? Mesmo não tendo porte de armas, no Brasil você fica sabendo através da imprensa, de muitos casos em que o namorado, pai, padrasto etc., matam suas esposas, ex namoradas etc. Então, se na casa dessas garotas tivesse um pai ou mãe armados, com certeza a pessoa que gostaria de fazer uma maldade, ela pensaria duas vezes antes de fazer, porque saberia que tem consequências. No momento, não existe consequência ao crime em nosso país. Nos U.S.A, recentemente um professor meu amigo, especialista em ciências Forenses, esteve na Flórida para dar treinamento, palestras etc. a alguns policiais e pessoas que trabalham nas prisões. O que ele relatou foi o seguinte: Lá existe a política punitiva, qualquer coisa que alguém faça fora da lei, irá pagar por isso. Até mesmo algo ""bobo"" como por exemplo derrubar comida no chão (dentro da cadeia) porque não quer comer aquilo, um preso fez isso e foi obrigado a trabalhar sem parar o dia todo para pagar o dia de serviço do faxineiro que limpou a bagunça dele. Quer dizer, o cara ficou ali o dia todo fazendo a mesma tarefa repetitiva para pensar no que fez e viu que teve consequências, que seria melhor agradecer a comida que tem. No Brasil é o oposto! Ai de uma mãe que bater em seu filho! ela pode perder a guarda da criança, mas pode ficar na Cracolândia com o seu bebê ali no meio das drogas de boa, ninguém vem resgatar a criança ou punir essa mãe por maus tratos. Nosso país é um país hipócrita e incongruente.";for
Não acredito que o porte de armas resolva o problema da violência. Além disso o porte de armas requer treinamento e aptidão. No frigir dos ovos acredito que tendo mais arma na sociedade teremos mais violência.;against
Eu acredito que o cidadão comum deve ser capaz de se defender, e a população como um todo deve ser capaz de se voltar contra um governo que não a satisfaz. Contudo, temo que uma liberação do porte de armas especificamente no Brasil sem uma boa regularização possa ser mais prejudicial do que benéfica. Além disso, há muitos exemplos bem-sucedidos e malsucedidos no que tange a assuntos relacionados a este tópico, e com culturas não necessariamente comparáveis à cultura do nosso país.;neutral
Em uma sociedade onde as pessoas possuem meios para se defender, torna-se um ambiente hostil, onde as pessoas mal intencionadas passará a respeitar mais, por saberem que todos ali possuem recursos para se defenderem.;for
Acredito que a liberação de porte de armas de fogo pode estimular ainda mais a violência no país e que não haveria um controle sobre isso considerando as leis ineficientes do nosso país.;against
Porte de armas estimula a violência. Ninguém deve ter direito ao porte de armas. É comprovado que muitos acidentes acontecem e também a violência urbana se alastrando, corre o risco de se estabelecer a justiça com as próprias mãos.;against
Armas não resolvem a violência, pelo contrário! Há evidências que mais armas na sociedade aumentam suicídios, assassinatos e insegurança no geral. E o principal objetivo de uma arma é matar, portanto nem é um objeto que deveria existir.;against
Acho que pode gerar mais violência e acidentes. Uma arma em casa pode gerar mais problemas que soluções caso uma criança, por exemplo, tenha acesso a essa arma.;neutral
"No Brasil, o número de pessoas que brigam no trânsito e dirigem embriagadas é alarmante, os níveis de violência domésticas são altos e pessoas que adoram fazer ""justiça"" com as próprias mãos é o que não falta. Em um ambiente como esse, a liberação do porte de armas para população comum provavelmente não é uma boa ideia sem uma forte campanha de conscientização e fiscalização dos que tiverem acesso, que são duas coisas em que o Brasil já se mostrou falho em diversas outras ocasiões.";against
Isso é uma decisão muito complexa para a nossa realidade. Países como o EUA, por mais que alguns não considerem, a legalização do porte de armas deu certo. Mas aqui acredito também ser válida, mas precisa ser introduzida com um certo cuidado, para que isso não se banalize e vire porta ainda mais fácil para o bandido conseguir se armar.;neutral
Armas de fogo são mortais, se o acesso a elas for liberado para a população geral provavelmente aumentará o número de incidentes causados por arma por diversas razões, por exemplo, acidentes, furtos da arma para outros fins, uso das armas em momentos que a pessoa não se encontra em plenas faculdades mentais.;neutral
Os Seres Humanos de hoje estão muito agressivos, frios e sem amor no coração, com certeza usarão este porte de armas erradamente. No momento só concordo em liberar o porte de armas, para pessoas que passam por um treinamento funcional e rigorosamente disciplinar.;against
A Indonésia possui um dos menores índices de criminalidade e assassinatos por porte de armas, além de ser um dos países subdesenvolvido. Ainda menor que os EUA em termos de criminalidade, os EUA possuem um dos piores índices se comparado com países Europeus. Alguns dizem que Harvard fez uma pesquisa sobre o porte, e na realidade foi apenas uma notícia de Harvard sobre uma pesquisa de outra Universidade e cheias de furos, como comparar a criminalidade do Reino Unido com dos EUA. Agora pela lógica, você deixaria um homofóbico, machista, racista, bêbado, violento, suicida usar uma arma? Nós EUA já estourou até o número de tiroteios em escolas, imagine o Brasil quando a arma for mais disponibilizada.;against
Não temos segurança suficiente para proteger todo cidadão, então cada um podia ter o direito de se defender, já que um ladrão anda sempre armado um cidadão do bem também poderia andar.;for
Considero um instrumento de proteção legal ao cidadão se comprovada a aptidão psicológica e a efetiva necessidade. O problema do Brasil é que o armamento ilegal vai nas mãos dos bandidos e o nosso Estado não se preocupam com isso.;neutral
Esse problema leva em consideração quatro fatores: países restritivos ao uso de armas, países liberais ao uso de armas, países com alto índice de homicídios/violência, países com baixo nível de homicídios/violência. Ao cruzar essas quatro características, não se observa uma correlação entre liberação do porte de armas e violência. Há exemplos de países nos quais há permissividade com o uso de armas e baixa violência, países com permissividade ao uso de armas e alta violência, países com restrição ao uso de armas e baixa violência e países com restrição ao uso de armas e alta violência. Nesse sentido, a liberação do uso de armas depende de análise do seu impacto na sociedade, levando em consideração as características sociais dessa população.;neutral
Tema polêmico, por isso a escolha pelo alternativa talvez. Liberar o porte de arma significa dar o direito de usá-la nas condições em que o indivíduo julgar necessário. E essa avaliação por ter um viés subjetivo, pode fomentar a violência desnecessariamente. E o pior, tirar vidas erroneamente.;neutral
O porte de armas de fogo provê um poder ao cidadão comum de tirar a vida de outros ao seu bem entender (que pode ser auto defesa ou não) e, apesar de ser compreensível que alguns cidadãos sejam inclinados a escolherem o porte como forma de auto defesa, isso não justifica o poder de ferir o direito à vida dos outros ao seu redor. Ademais, o cruzamento de dados do porte de armas de países desenvolvidos em que o porte é legalizado(como os EUA) versus de outros países demonstra uma tendência clara de maior número de mortes quando há legalização, ou seja, possuir uma arma de fogo, como cidadão comum, não diminui e muito menos resolve a violência.;against
O porte de armas não sendo permitido para todos os cidadãos ocasiona vários casos de violência que seriam evitados com o porte. Digo isso no caso de violência realizada por covardes na grande maioria não ocorreriam por não ter certeza se no estabelecimento ou na residência há ou não alguém armado, na dúvida melhor não cometer o crime. Além de pessoas franzinas e frágeis deixarem de ser um alvo fácil. Os países com porte de arma legalizado não têm um índice tão alto de crimes quanto os países que o têm, o que confirma que não é o porte de arma o indicativo de violência e sim a falta da educação e políticas de inclusão.;for
Todo cidadão deve ter o direito de se defender em situações de risco, ainda mais quando um Estado falido não é suficiente para garantir a segurança dos indivíduos. Bandidos não seguem a legislação e, mesmo sem direito a porte de arma, estarão armados.;for
Nossa sociedade não está preparada para lidar com essa responsabilidade e também não acredito que facilitar o porte terá efeito positivo sobre a criminalidade;against
A arma de fogo traz riscos para a saúde das pessoas no convívio próximo ao portador. Caso algum evento traumatizante ocorra na vida do indivíduo, ele pode acabar gerando situações perigosas para todos à sua volta.;against
Imagine dois negros encima de uma moto olhando para você, que está dentro de um carro e em um semáforo. Eles só olham ou querem me assaltar? Buuummm. Pratico dois homicídios e depois descubro que sequer estavam armados. Melhor armar as polícias do país, as quais são treinadas para defender o cidadão. Melhor equipar e treinar as polícias do que o cidadão que sequer possui sanidade mental para portar uma arma.;neutral
Hoje , as pessoas vivem em constante estado de estresse e nervos. Existe muita briga, muito relacionamento ruim, muita maldade, inveja, droga, assalto, assassinatos, e acho que por conta disto, é um perigo o cidadão comum ter uma arma.;against
Os brasileiros não tem maturidade, muito menos discernimento para portar armas, as chances de tragédias ocorrerem é muito grande, por isso a opção de o brasileiro ter direito, não é um tema propício ao Brasil.;against
Todos tem direito a legítima defesa. Armas não matam pessoas, pessoas matam pessoas. Acredito que um carro é muito mais perigoso do que uma arma de fogo. E que a simples suspeita, deixará a bandidagem mais apreensiva, pois hoje, a certeza de que eles são os únicos armados, é imensa.;for
Acredito que se o cidadão comum portar armas de fogo , as chances de desastres acontecerem são maiores . Apenas pessoas seletas deveriam portar armas .;against
No meio em que vivemos não sei se seria uma boa ideia, tendo em vista que já vi em brigas de trânsito uma pessoa ser baleada por ter dado passagem à um pedestre.;neutral
Não acredito neste formato que delega ao cidadão o direito de defesa. Nossa sociedade é muito individual e com pouca empatia.  Acredito sim em deveres básicos do estado. A segurança pública não pode ser privatizada.;against
Acredito que os cidadãos comuns não tem o treinamento e o psicológico para saberem portar uma arma de fogo. Aumenta muito as chances de crimes passionais acontecerem e de uma forma muito mais grave (uma arma de fogo é pior que uma arma branca).;against
Este assunto e um tanto polêmico, porte de armas, nosso pais ainda não está preparado para que o cidadão possa possuir porte de armas, vejo que para alguém tenha porte de armas, teria que passar por um rigoroso processo para ser apto a ter porte de armas.;against
Acho que armas de fogo só trazem mais violência de maneira geral, mas como vivemos em um país muito perigoso e muito desigual acho que em situações específicas e bem regulamentadas o porte pode ter espaço.;neutral
Todos os indivíduos da sociedade deveria ter o direito de escolha se quer ter arma de fogo em casa ou não, pois atualmente que as possui são as forças armadas do estado (Polícia, Exército, Marinha, Aeronáutica, dentre outros) e os bandidos, pois assim controlam a vida das vítimas naquele momento. Acredito que devemos ter a possibilidade de nos defender de igual para igual, pois prefiro ter e nunca precisar, do que precisar e não ter.;for
Acredito que, ao liberar o porte de armas, estamos sujeitos a muitas consequências difíceis de lidar. Acho que muitas vezes as pessoas utilizariam a arma sem necessidade como em brigas de trânsito ou bar, por exemplo.;against
O porte de armas eu acho uma questão mais delicada, que só deveria ser aceito com restrições muito severas. Coisas bastante ruins já acontecem sem o porte de armas ser legalizado, imagina o que aconteceria se pessoas, mesmo com boas intenções tivessem acesso a armas? Elas poderiam facilmente passar para mãos erradas.;against
Vivemos em uma sociedade cada vez mais intolerante e egoísta. Creio que a proibição do porte de armas para cidadãos comuns diminui o índice de violência gratuita.;against
Os cidadãos não devem portar armas de fogo porque com elas poderão fazer mais do que apenas se defender de um possível ladrão. Podem usá-las para assassinatos e coisas do tipo;against
O Estado brasileiro não provê segurança para a população. Nesse caso cada ser humano deve poder garantir sua segurança e de sua família comprando armas. No estado do Texas dos EUA os cidadãos podem comprar armas de fogo.;for
Não acredito que nossa realidade aqui no país permita um porte de arma seguro. Não temos a cultura de respeitar estranhos, então acho que o porte iria acabar com mais vidas inocentes do que trazer segurança contra o crime.;against
Acho que o porte de armas aumentaria a insegurança da população, ao invés de proporcionar o contrário. Alguns podem dizer, então, que armas brancas poderiam também fazer o mesmo mal que uma arma de fogo. Entretanto, penso que a arma de fogo proporciona ao atirador um distanciamento da vítima e o imediatismo do ato (o que potencializa o uso indevido por desequilíbrios emocionais -> pessoas instáveis). Isso para atos impulsivos. Com relação a atos planejados, a arma dá ao portador maior controle sobre a situação de um ataque, por exemplo (o que facilitaria a criação da ideia de execução deles).;against
"Não se combate violência com violência. Num momento de nervosismo, o que se vê à frente serve de ""arma"" a qualquer um. Portanto, deixar uma arma letal à disposição - ainda que do homem de bem, não é razoável. Deve-se fortalecer a capacidade de diálogo das pessoas, conceitos como a ""justiça restaurativa"", não a punitiva-vingativa.";neutral
É complicado falar sobre isso. Que a minha pessoa não seja entendida como um cegamente apoiador de determinados políticos, mas não acho que isso será um progresso para a segurança nacional, nem que será o fim do mundo. É comprovado pela ciência que o cérebro age irracionalmente quando está sob efeito da raiva, por isolamento do córtex pré-frontal (vale à pena acrescentar à bibliografia do trabalho) e nesses momentos a pessoa fica muito apta a cometer um homicídio por impulso. Mesmo assim, primeiro que nem todo mundo terá dinheiro para comprar uma arma e sair todos os dias com ela no bolso. Acredito que mesmo quem comprar não vai sair rodando com ela por aí todos os dias. Em segundo lugar, é só pensar: se alguém é impulsivo e quer matar outra pessoa, por que ela não o faria com uma faca? E o fazem, mas são tão poucos que eu, por exemplo, não me lembro da última notícia sobre isso na televisão e muito menos vi alguém o fazer. Mas sei que esse assunto, por ser um assunto sociológico, envolve INÚMERAS variáveis as quais, nem sempre, imaginamos que estão envolvidas e por isso fica difícil ter uma opinião sólida e confiável a respeito. Por isso votei que talvez não, pois apenas acho que isso não mudará nada na nossa vida, mas preferi não afirmar nada categoricamente.;neutral
Só aumentariam os casos de violência e mortes, acidentais ou não. Talvez algumas pessoas consigam se defender de um assalto ou coisa do tipo, mas em contrapartida temos aquelas pessoas que, numa briga de trânsito, se armadas, não pensariam duas vezes. Pessoas que não sabem lidar com algum tipo de frustração são perigosíssimas com armas;against
O porte de armas não seria viável pois possivelmente não haveria diminuição da violência, talvez até aumentasse o número de casos de acidentes por porte de arma. Pessoas agem por instinto num momento de adrenalina e acabam agindo de forma inconsequente.;against
O Estado não fornece segurança ao cidadão e normalmente alteramos a nossa vida por medo. Não saímos a noite e temos medo de caminhar sozinhos. Talvez com a posse de arma possa trazer a segurança que o Estado não fornece;neutral
Um cidadão comum e despreparado (fisicamente e/ou mentalmente) de modo algum deve ter em suas mãos uma arma de fogo. No brasil, o índice de homicídios das mais diversas categorias é altíssimo. Não vai ser colocando uma arma na mão de cada cidadão que esse índice irá diminuir. O correto seria fortalecer ainda mais a segurança pública, pois é para isso que ela serve, para proteger a população.;against
Acredito que o porte de armas ainda é uma ameaça para todos, o cidadão comum ainda não tem condições de portar arma de fogo, seria necessário uma educação para que isto ocorra.;against
Portar arma de fogo é um perigo em potencial. Deveria haver uma política mundial par se reduzir as armas que existem nas mãos de policiais e forças armadas.;against
Acho que armar a população é um caminho perigoso e que pode contribuir para o aumento da violência. Muitas nações de primeiro mundo com taxas baixas de violência, homicídios e população carcerária não adotam políticas de liberação das armas, logo, esse é um indício de que a liberação provavelmente não é um bom caminho. Porém, em algumas situações como no caso de moradores da zona rural, o porte poderia ser uma opção (infelizmente).;against
O porte de armas não deveria ser legalizado para um cidadão comum, pois se trata de algo capaz de tirar a vida de alguém. Logo, não são todas as pessoas que possuem o psicológico para ter em suas mão uma arma.;neutral
Países com população armada não são os mais seguros, armas em casa aumentam os riscos à própria família, em especial às mulheres, em casos de assalto, a arma poderá piorar a situação, a maioria da população é contra o armamento, o tráfico de armas ilegais aumentará;against
O cidadão comum, que vive nos grandes centros urbanos não tem necessidade. Mas o cidadão rural poderia melhor proteger sua propriedade se tivesse a autorização.;neutral
Sou contra qualquer tipo de arma. Não matar. Ninguém deveria ter esse sentimento dentro de si e muito menos possuir uma arma. Educação e amor! O homem pode matar com as próprias mãos, mas tendo arma facilita.;against
Mais violência? Não obrigado. O porte de armas seria decente caso o cidadão mediano não fosse tão ignorante. Veja o caso dos Estados Unidos. Há tiroteio quase todo mês.;against
pessoas que não tenham processo crime, que passem por testes psicológicos, e técnicos, devem ter uma arma para defesa, afinal hoje somente bandidos tem armas;for
Eu não sei em quem confiar a minha proteção, ainda mais na situação em que nosso país e nossa corporação policial se encontram. Mas devido ao cenário brasileiro, a legalização má administrada poderia resultar em mal uso do porte, o que me deixa indeciso sobre dar uma resposta final para esse questionamento.;neutral
Acredito que vivemos em uma sociedade muito violenta, liberar o porte de arma embora muitos falem que é dar opção para o sujeito de bem, é assinar a ineficiência da nossa segurança pública. Acredito que violência gera mais violência. Essa é minha opinião hoje, não sei amanhã.;against
Acredito que provavelmente no Brasil o cidadão comum não deveria ter direito ao porte de arma. O porte de arma dá poder para as pessoas atentarem em relação ao bem maior: a vida. Tendo em vista que as leis no Brasil não funcionam corretamente e a maior parte dos casos de violência não são resolvidos, certamente as pessoas se sentiriam empoderadas a fazer justiça com as próprias mãos, o que tornaria a polícia mais ineficiente do que é hoje. No entanto, há de se refletir que o país já está em guerra, não existe nenhuma unidade que tenha controle da situação atual e o cidadão comum está lançado à própria sorte. Assim, alguns casos que tomam proporções maiores e geram comoção na mídia e na população parecem colocar em dúvida se uma ação imediata não seria permitir que as pessoas ao menos possam defender a si mesmas.;against
Se hoje fosse permitido o porte de armas a sociedade provavelmente viraria um caos, pois qualquer coisa seria motivo para briga e consequentemente o número de mortes seria elevado.;against
Talvez sim, pois, nem todos os cidadãos têm consciência do perigo e ao mesmo tempo do bem que o porte de armas pode causar. Se a população fosse bem treinada, e após exames psicológicos fosse avaliado saúde mental para o uso de tal, este seria um fator que diminuiria a criminalidade, pois, antes de cometer algum crime o cidadão pensaria que a vítima poderia estar armada.;neutral
Segurança deveria caber ao Estado... Se isso fosse eficiente as pessoas se sentiriam seguras e protegidas.;against
Não acredito que um cidadão com pouco ou nenhum treinamento carregando uma arma traga um benefício para a segurança geral que compense o risco que ele causa. Como é inviável treinar toda a população para saber como/quando usar uma arma de fogo e como armazena-la, não vale a pena o risco.;against
O porte de armas é um assunto delicado e perigoso. Creio que o porte liberado para o cidadão comum possa vir a causar problemas, por mais que as vezes armas possam ser mecanismos de autodefesa. Se acontecesse teria que ser algo feito com extremo cuidado;neutral
Este é um tema que ainda deve ser amplamente debatido, embora em alguns países a legalização do porte de arma funcione bem, é necessário conduzir estudos e pesquisas com os cidadãos brasileiros para que se possa entender quais seriam as consequências do porte ao cidadão comum, isto é, entender se de fato a medida contribuiria para a diminuição ou o aumento da violência.;neutral
Se brasileiro já consegue estragar o país só votando errado, não quero nem imaginar o que aconteceria com uma arma de fogo nas mãos e tanto ódio e intolerância por quem não concorda com as suas opiniões.;against
Todo o cidadão tem o direito de se defender de criminosos, porém apesar de concordar com o porte de armas, esta deve ser feita de maneira controlada, por meio de exames e testes, afim de comprovar a capacidade do indivíduo em obter o porte de armas.;for
Embora estatisticamente isso seja benéfico em outros países, creio que o Brasil possui algumas particularidades culturais que podem determinar o sucesso de uma operação de liberação do porte de arma. Tendo isso em vista, creio que seria necessária mais do que uma deliberação sobre o porte, mas sim comunicações e treinamentos para o cidadão comum - a fim de prevenir acidentes e/ou aumento de violência urbana.;against
A posse de armas de fogo poderia ajudar a diminuir a taxa de invasões domiciliares, uma vez que, com o invasor ciente de que o morador possui meios para se defender, o bandido pode ficar receoso. Mesmo isto podendo ser bem raro de ocorrer, é um dos fatores que ajudariam a diminuir a taxa de invasões. E, caso ainda ocorra a invasão, o proprietário poderia proteger a si e aos outros residentes. Mas para que os moradores tenham as condições de operar as armas de maneira correta, eles devem se submeter a treinamento. Portanto, sou a favor do porte de armas, mas desde que seja feito de maneira correta.;for
O porte de armas deve ser realizado apenas para pessoas com qualificação e preparo para isso, a fim de evitar possíveis acidentes. Além disso , o preparo psicológico é fundamental.;against
"Se todos tivessem permissão para ter uma arma, o número de mortes aumentaria significantemente. Apesar do argumento de ""auto-defesa"", é muito provável que tais armas sejam utilizadas para intimidação durante brigas de trânsito, por exemplo.";against
Nem sempre o cidadão consegue contar com o auxílio da polícia rapidamente. este último algumas vezes se encontra muito distante do local onde necessitam de ajuda, como é o caso de fazendeiros. Por se tratar de uma fazenda, sua área tende a ser muito grande de forma que se torna inviável garantir a proteção de sua propriedade 100%. Tornam-se assim, dependentes da agilidade e eficácia da polícia que muitas vezes não conseguem ajudá-los a tempo.;neutral
Acredito que as pessoas são livres para qualquer tipo de escolha. A respeito do porte de arma, não veria problema se houvesse regulamentação, avaliação médica treinamento para o uso de armamentos.;for
Isso pode ser perigoso, em caso de algum tipo de discussão ou briga, alguma pessoa com um temperamento um pouco mais agressivo pode fazer algo de ruim, o porte de armas é 50%-50%.;neutral
Apesar de o Brasil ser um pais muito violento e perigoso, acho que a legalização do porte de armas não é a melhor solução para esse problema, uma vez que só geraria mais problemas e violência, já que a maioria dos cidadãos não é mentalmente preparado para ter uma arma de fogo.;against
O direito à propriedade é inerente ao ser humano, e não é eticamente defensável tirar esse direito. Argumentos utilitaristas e históricos podem ser feitos de ambos os lados, mas os princípios éticos permanecem superiores.;for
Eu creio que não há fundamentos para se pensar em aprovar ou não o porte de armas, pois é evidente que os crimes de violência e mortes de grandes e pequenas gravidade iram aumentar e as prisões e os tribunais não terão tamanha capacidade para acolher tantos casos. É evidente nos país onde o porte de arma é legal tantas fatalidades e crianças sendo julgadas por cometer atos culposos. Os brasileiros não estão civilizados em sua totalidade para receber tamanha responsabilidade.;against
