text;abortion
Ainda não estou convencido de onde se começa uma vida e quando tenho o direito de retirá-la. Apesar do corpo ser meu ou não desejar que esta vida tenha vinculo comigo devido a situação que ela foi gerada. Apesar de ser considerada uma urgência de saúde pública, ainda não acho que de forma reativa resolvo o problema.;against
O aborto deveria ser uma prática controlada já que hoje ocorre, porém, para pessoas com condições favoráveis à isso. Em casos como estupro acredito que isso não deveria nem ser colocada em discussão uma vez que foi totalmente contra a vontade da vítima.;for
"A escolha por ""provavelmente não"" é porque acredito que existem casos, como o de estupros, onde o filho poderia ser a personificação da violência sofrida, transformando-se assim em um trauma constante para a mãe.";against
O Aborto deve ser permitido em circunstâncias extremas como estupro e risco de morte da mãe ou do bebê. Contra a gravidez indesejada deve ser combatida com mais informação e educação sexual para as pessoas. Principalmente as pessoas mais carentes as quais muitas vezes morrem em clínicas de aborto.;neutral
"O aborto é um tema complicado no Brasil por pressão forte de grupos religiosos. O aborto deve ser considerado, acima de tudo, uma questão de saúde pública. Quando defendo a legalização do aborto, não é simplesmente o direito de poder abortar e ficar por isso mesmo. É prover à família (mulher e conjugue), o apoio psicológico necessário para tomar tal decisão, bem como o acompanhamento médico/psicológico pós aborto. É ter uma rede de amparo onde a mulher que deseje abortar possa procurar, possa se informar, receba a ajuda necessária, converse com profissionais. E, se depois disso, ela ainda sim optar pelo aborto, que ela tenha esse direito e não seja julgada por isso, e que receba em seguida, ajuda e apoio para lidar com o ocorrido. Vai muito além de simplesmente ""pode ou não pode abortar?""";for
A legalização do aborto se deve somente em casos específicos e comprovados com exames laboratoriais, como risco a saúde da mãe ou feto natimorto.;neutral
"Penso que em alguns casos o aborto poderia ser liberado. Uma mulher quando é estuprada deveria ter a opção do aborto até os três meses de gestação. Ainda que possível evitar a gravidez com a ""pílula do dia seguinte"". Essa criança representa um momento ruim na vida da mulher. Nos demais casos não concordo, existe inúmeras maneiras de evitar uma gravidez, o sistema de saúde oferece de forma gratuita camisinhas e anticoncepcionais. A gravidez pode ser evitada, a legalização do aborto poderia acarretar em ainda mais gastos para a saúde pública.";neutral
bem eu sou a favor, pois afinal uma criança que não é bem vinda ao mundo, não vai ser amada da forma correta e ela vai saber disso e os pais não vão dar a devida atenção e o carinho necessário para que tal, seja amada e cuidada;for
Penso que o aborto deveria ser legalizado, porem com certo controle! Deveria existir um porque abortar para não fugir do controle e não virar rotina na vida de algumas pessoas.;for
"Um dos principais discursos dos defensores da proibição do aborto é a ""valorização da vida"" sobre esse discurso podemos facilmente refutar uma vez que a proibição de nada garante que o aborto seja realizado, muitas vezes em casa ou em alguma clinica clandestina, muitas vezes resultando em morte da mãe. Uma vez que é proibido o aborto legal, automaticamente estamos condenando a morte várias mulheres que não tem condições seja ela financeira ou mesmo psicológica de cuidar de uma criança. Há pesquisas que comprovam que a legalização do aborto não aumenta o número de abortos, pelo contrário, com o devido acompanhamento psicológico é possível reverter um aborto que seria realizado. Complementarmente as leis de adoção devem ser revistas com o objetivo de agilizar todo o processo. Hoje a fila para a adoção é de aproximadamente dois anos e não é permitido assim como em diversos outros países (EUA e Reino Unido), que um casal que deseja adotar pague ou auxilie financeiramente uma pretendente a adoção. Além de toda a burocratização que impede que adoções sejam realizadas de forma mais ágeis também existe um forte julgamento da sociedade que culpa a mulher e para essas pessoas, uma vez que está grávida, deve pagar pela sua conduta cuidando dessas criança.";for
Eu não sou capaz de opinar, sou homem e não é um assunto no qual me sinto à vontade em discutir, não tenho muito conhecimento sobre o mesmo, nem nas vantagens ou desvantagens.;neutral
O aborto deve ser legalizado, em circunstâncias estremas como crimes que envolva violência sexual, nesse contexto o estado deve ajudar, mas de qualquer outra forma é necessário ser cauteloso, pois se libera e se torna um pratica comum podemos até mesmo ter problemas com taxa de natalidade.;neutral
Por princípio não sou a favor mas acredito que cada pessoa deve ser responsável por sua opção e decisão relativos a seu corpo e com isso evitaria que pessoas com menor recurso econômico tivessem acesso a um atendimento com dignidade.;neutral
Antes do aborto deveria ser de forma mais simples os tratamentos fixos para não ter filhos. Dependendo da situação como estupro, doenças detectadas durante a gravidez sem dúvida deveria ser permitido. Casos onde a pessoa não tem muita condição financeira deveria ser obrigatório o tratamento para q não se tenha mais filhos.;for
O aborto me parece um problema de saúde pública, sendo um processo que já ocorre de forma ilegal atualmente, o que consequentemente aumenta os riscos para quem se submete ao processo.  Não tenho informações sobre os resultados de políticas de aborto, mas considerando que os países desenvolvidos adotam, acredito que tenha resultados positivos no geral.;for
No Brasil, uma mulher não tem o direito de fazer uma laqueadura quando quer, ela precisa seguir uma série de critérios, e em alguns casos até o marido tem de está de acordo. Sem falar que nenhuma das formas de prevenção de gravidez é 100% segura. Mas se ela engravidar, é ela e mais ninguém que deve arcar com as consequências, e mesmo se levarmos em conta que o pai será obrigado a pagar pensão, que não é lá grande coisa, todo o resto será de responsabilidade dela.  Então por que uma mulher não pode decidir se ela quer ou não ter um filho? Porque o estado tem o direito de intervir e obrigar a mulher a ter essa criança, quando este mesmo não a permite fazer uma laqueadura? O aborto deveria sim ser legalizado, pois só uma mulher pode decidir se tem condições ou não de gerar e criar um filho.;for
Algumas mulheres podem se sentir incomodadas pela presença de um feto indesejado em seu útero, por diversos motivos. Por isso, acho que é direito dela poder remover o feto, pois a permanência dele pode acarretar em sérios problemas.;for
A mulher, e somente ela, deve tomar as decisões que dizem respeito a seu corpo. A decisão de abortar ou não deve partir da gestante, e caso ela decida abortar, é preciso que haja uma estrutura digna para os procedimentos, de forma legal e que não coloque em risco a vida das mulheres.;for
O aborto deveria ser legalizado em apenas condições especiais, e não em todos os casos. Existem condições em que a mãe realmente não tem condições ou não tem culpa de ter engravidado, porém ainda estamos falando de uma vida, que deve ser preservada dentro do possível;neutral
Acima de qualquer religião, questões morais e éticas. O corpo é da mulher, ela deve ter pleno direito de decidir se vai querer gerar um filho, pois uma gravidez indesejada pode ter um grande impacto na vida dessas mulheres.;for
Isso deve ser visto como uma questão de saúde pública. Ninguém gosta de fazer um aborto. Nas primeiras semanas de gestação, enquanto o feto ainda não tem atividade cerebral relevante, deveria ser permitido.;for
Cabe a mulher decidir sobre o seu corpo, a sua vida e se quer ou não. A procriação, ou a manutenção de uma gravidez, diz respeito ao indivíduo não a vertentes religiosas e ao Estado.;for
Penso que a concepção de um ser é uma tremenda violência contra o ser que o concebe. Explico-me. Imagine saber que existe um ser vivo crescendo dentro de você, que logo terá de sair e não será fácil. Este ser consome seus nutrientes, lhe causa dores, coloca tua própria existência em risco. No entanto, por óbvias razões evolutivas nós enxergamos este processo com bastante sentimentalismo. No entanto, quando uma mulher não deseja sofrer esta violência, ela tem que sofrer de qualquer jeito? Eu penso que não pode haver obrigação de sofrer violência no estado livre de direito.;for
Tema complicado, mas acho que deveria ser legalizado em alguns casos específicos, como por exemplo, em casos de estupro.;neutral
Somente em caso de estupro onde a mulher não tinha a intenção de manter relações sexuais com o vagabundo. Nesse caso ela será obrigada a criar uma criança gerada a base da violência.;for
O aborto sempre foi uma questão discutida por todos, mas no fim, uma decisão que homens decidem por tomar. No fim das contas, o corpo é das mulheres, e é do direito delas escolher como proceder. Claro que não estamos dizendo que uma mulher possa tomar cuidado nenhum e abortar inúmeras vezes, até porque, o processo de aborto mexe muito com o corpo da mulher. Mas no fim, a decisão de abortar um ser que pode vir a viver apenas para sofrer, ser abandonado ou passar necessidades pode ser uma decisão benéfica para os dois.;for
O aborto provocado mesmo em fase inicial da gestação é assassinato dentro da barriga, o que é um crime contra um ser indefeso que paga pelos atos de sua própria mãe. Sou totalmente contra. O que deveriam ser feitas são políticas de prevenção que sejam eficazes e políticas de adoção de crianças que não são desejadas. Aborto é assassinato e quem pratica ou ajuda a realizá-lo deveria pagar criminalmente.;against
Deveria ser legalizado quando ocorre uma violência sexual não consensual, quando ocorre abuso infantil principalmente ou quando a mãe não tem condições psicológicas para criar um bebê.;neutral
Entendo que não estamos falando do aborto em casos extremos como perigo de morte para a mulher, ou em casos de estupro, pois nesse caso seria 100% a favor. Mas em minha opinião, ter ou não ter um filho deveria ser uma decisão da mulher ou do casal, quando for o caso. Novamente, não expresso absoluta convicção porque há casos que deveriam exigir algum tipo de avaliação médica e psicológica, para evitar por exemplo um aborto em um período de depressão, que é algo passageiro e pode levar ao arrependimento posterior.;for
"É sobretudo uma questão de política de saúde pública. Conhecidamente nos países ""subdesenvolvidos"" ou ""terceiro mundo"", onde as taxas de natalidade são elevadas e também há grandes índices de aborto entre mães jovens, a operação médica por trás do aborto se dá em condições clandestinas e insalubres, colocando parte da população em risco. Sendo um fato, deixa de ser uma questão de legalizar no sentido permissivo para um dilema do Estado de prestar auxilio ou não para essa população em risco. É também muito comum (e irônico) invocar aspectos da moralidade religiosa judaico-cristã visando resguardar uma potencialidade de vida, que ironicamente põe duas de fato em risco.";for
Eu vejo que a visão negativa sobre aborto possui uma influência forte da religiosidade e da filosofia. A questão de quando a vida começa é muito relativo a borda entre o que está vivo o que não está é nebuloso. No caso que o feto ainda esteja em desenvolvimento acredito que a mulher deve ter direito de abortar, pois esse ser ainda faz parte da mulher. Esse direito acaba quando o feto já teoricamente conseguiria viver fora da barriga da mulher.;for
Acredito que sim, pois mulheres vítimas de estupro ou com risco de morte sofrem nesses casos e a prioridade do bem-estar deve ser da mulher. O caso do bebe com anencefalia também pode ser aceito, já que o bebe na maioria dos casos não sobrevive por muito tempo.;for
O Estado deve prover condições mínimas para a vida prosperar tanto da mãe quanto da criança. Porém, o corpo é da mulher e a decisão é dela. Mulheres que não têm assistência buscam meios alternativos, como clinicas de aborto clandestinas e acabam por obter sérios problemas ou pior, morrendo.;for
Entendo que a criança, embora gerada através de duas pessoas de gêneros opostos, na imensa maioria das vezes, é responsabilidade da mulher que deve ter assegurado o direito de optar por ser ou não mãe.;for
Uma mulher não deveria ser proibida de tomar uma decisão dessas, mesmo tendo toda a questão dos direitos humanos por trás do assunto, como a responsável pela criança e a pessoa que está criando ela, cabe à mãe a decisão de se ela deve ou não dar à luz essa vida.;for
A proibição do aborto não impede a existência de abortos. Tenho a sensação de que o processo executado de forma correta possa impedir a morte de inúmeras pessoas que poderiam se submeter a processos cirúrgicos clandestinos, fato que, particularmente, acho mais importante que o aborto em si.;for
A questão do aborto trata diretamente dos direitos da mulher sobre seu próprio corpo, assim como para qualquer ser humano, deve caber unicamente ao indivíduo decidir sobre sua própria vida e seu próprio corpo. Ainda que o aborto seja feito ilegal, as mulheres continuam abortando em centros clandestinos, tornando-se assim também uma questão social, uma vez que mulheres ricas podem pagar por abortos clandestinos de qualidade enquanto mulheres pobres realizam operações com grandes riscos e de baixa qualidade. A legalização traz não só a segurança de um direito fundamental do ser humano como traz muito mais segurança para as mulheres que decidem que não querem, podem ou não estão preparadas para um filho.;for
Eu já mudei de opinião a respeito de aborto incontáveis vezes e atualmente acho que só estou pendendo para lado da legalização porque apesar de achar absolutamente horrorosa a ideia de interromper uma gestação, acho que as pessoas vão fazer isso de qualquer forma e é menos pior se elas tiverem apoio da saúde pública.;neutral
a legalização do aborto é diferente de ter o aborto como apoiada pela sociedade. Na verdade, o que está sendo defendido é o direito de escolha da mãe que mais do que ninguém pode decidir isso;for
O aborte deve ser legalizado por vários motivos. O mais importante é dar a liberdade de escolha para a mulher e o homem decidirem se querem ter um filho inesperado. Essa liberdade é importante pois o tratamento que os pais dão à uma criança indesejada é, certamente, um tratamento que irá prejudicar muito a vida da criança, a dos pais e talvez até a da sociedade.;for
Para a questão do aberto, sou a favor apenas para os casos de estupro ou quando a mãe corra algum risco de morte com a gestação ou para os casos de anencefalia. Mas não consigo enxergar outros motivos plausíveis que justifiquem essa legalização.;neutral
A princípio, eu sou contrário ao aborto, com raríssimas exceções que explico no final. O objetivo do aborto é praticar um homicídio. Penso ser cruel matar alguém que não cometeu crime nenhum e não fez mal a ninguém. Há determinados grupos que advogam a legalização do aborto, mas eles sempre fazem isso desumanizando o bebê que está totalmente indefeso no ventre de sua mãe. É cruel perseguir alguém que não pode nem se defender. A exceção fica por conta de bebês anencefálicos e outras anomalias nas quais a vida não foi possível. No caso de coação irresistível, como o estupro, defendo que as mulheres possam abortar, mas que o estuprador responda pelo crime de homicídio além do crime de estupro e que a mulher tenha todo o amparo psicológico.;against
O principal motivo pela legalização do aborto é do domínio do corpo da mulher sobre seu próprio corpo. Antes de tudo, é sempre preciso lembrar que o corpo é da mulher e portanto é ela quem deve decidir sobre fazer ou não o aborto, afinal de contas é o corpo dela que irá gerar o feto e portanto é ela quem deve decidir por dar ou não continuidade sobre o feto. Não estamos falando aqui sobre parar uma vida ou não, afinal de contas existe muita controvérsia sobre o momento em que pode-se considerar que existe vida.;for
